cidr	origin	asname	country
104.168.73.0/24	36352	ColoCrossing	US
104.168.74.0/24	36352	ColoCrossing	US
104.168.76.0/22	36352	ColoCrossing	US
104.168.8.0/22	36352	ColoCrossing	US
104.168.80.0/23	36352	ColoCrossing	US
104.168.82.0/23	36352	ColoCrossing	US
104.168.84.0/22	36352	ColoCrossing	US
104.168.88.0/22	36352	ColoCrossing	US
104.168.92.0/24	36352	ColoCrossing	US
104.168.93.0/24	36352	ColoCrossing	US
104.168.94.0/23	36352	ColoCrossing	US
104.168.96.0/20	36352	ColoCrossing	US
104.171.0.0/22	36351	"SoftLayer Technologies Inc."	US
104.171.10.0/23	36351	"SoftLayer Technologies Inc."	US
104.171.12.0/24	32475	"SingleHop, Inc."	US
104.171.128.0/21	32748	"Steadfast Networks"	US
104.171.13.0/24	36351	"SoftLayer Technologies Inc."	US
104.171.14.0/23	36351	"SoftLayer Technologies Inc."	US
104.171.14.0/24	36351	"SoftLayer Technologies Inc."	US
104.171.15.0/24	36351	"SoftLayer Technologies Inc."	US
104.171.4.0/23	36351	"SoftLayer Technologies Inc."	US
104.171.6.0/24	20013	"CyrusOne LLC"	US
104.171.7.0/24	36351	"SoftLayer Technologies Inc."	US
104.171.8.0/24	36351	"SoftLayer Technologies Inc."	US
104.171.9.0/24	36351	"SoftLayer Technologies Inc."	US
104.192.0.0/22	27176	"DataWagon LLC"	US
104.193.252.0/22	14576	"Hosting Solution Ltd."	US
104.193.9.0/24	46664	VolumeDrive	US
104.194.0.0/19	36114	"Versaweb, LLC"	US
104.194.218.0/24	33182	"HostDime.com, Inc."	US
104.194.224.0/19	35916	"MULTACOM CORPORATION"	US
104.200.151.0/24	46562	"Total Server Solutions L.L.C."	US
104.200.16.0/21	36351	"SoftLayer Technologies Inc."	US
104.200.24.0/22	6939	"Hurricane Electric, Inc."	US
104.200.28.0/22	63949	"Linode, LLC"	US
104.200.28.0/24	63949	"Linode, LLC"	US
104.200.29.0/24	63949	"Linode, LLC"	US
104.200.30.0/24	63949	"Linode, LLC"	US
104.200.31.0/24	63949	"Linode, LLC"	US
104.200.64.0/24	31863	"Centrilogic, Inc."	US
104.200.78.0/24	62874	"Web2Objects LLC"	NL
104.201.100.0/24	46844	Sharktech	US
104.201.101.0/24	46844	Sharktech	US
104.201.102.0/24	46844	Sharktech	US
104.201.103.0/24	46844	Sharktech	US
104.201.104.0/24	46844	Sharktech	US
104.201.105.0/24	46844	Sharktech	US
104.201.106.0/24	46844	Sharktech	US
104.201.107.0/24	46844	Sharktech	US
104.201.108.0/24	46844	Sharktech	US
104.201.109.0/24	46844	Sharktech	US
104.201.110.0/24	46844	Sharktech	US
104.201.111.0/24	46844	Sharktech	US
104.201.112.0/24	46844	Sharktech	US
104.201.113.0/24	46844	Sharktech	US
104.201.114.0/24	46844	Sharktech	US
104.201.115.0/24	46844	Sharktech	US
104.201.116.0/24	46844	Sharktech	US
104.201.117.0/24	46844	Sharktech	US
104.201.118.0/24	46844	Sharktech	US
104.201.119.0/24	46844	Sharktech	US
104.201.120.0/24	46844	Sharktech	US
104.201.121.0/24	46844	Sharktech	US
104.201.122.0/24	46844	Sharktech	US
